음식골목명,음식점 상호,음식점 주소
(동구)동촌유원지명물먹거리촌,(주)32마루,"동구 효동로2길 33-7, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,(주)삼십미리에스프레소,"동구 효동로6길 47-5, 1~2층(효목동)"
(동구)동촌유원지명물먹거리촌,365감자탕동촌점,"동구 효동로2길 41, 1,2층 (효목동)"
(동구)동촌유원지명물먹거리촌,55온족발 동촌유원지점,"동구 효동로2길 45, 4층 (효목동)"
(동구)동촌유원지명물먹거리촌,고고,"동구 효동로2길 57-11, 지하1층 (효목동)"
(동구)동촌유원지명물먹거리촌,구근식당,동구 효동로6길 122 (효목동)
(동구)동촌유원지명물먹거리촌,그대를봄 마음의봄매일봄봄,동구 효동로2길 25 (효목동)
(동구)동촌유원지명물먹거리촌,그램그램동촌유원지점,"동구 효동로2길 47-7, 2층 (효목동)"
(동구)동촌유원지명물먹거리촌,낙원,동구 효동로6길 36 (효목동)
(동구)동촌유원지명물먹거리촌,농우마실,"동구 효동로2길 55, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,대구통닭,동구 효동로2길 39 (효목동)
(동구)동촌유원지명물먹거리촌,대단한갈비,동구 효동로6길 27 (효목동)
(동구)동촌유원지명물먹거리촌,더남자(막걸리),동구 효동로2길 61 (효목동)
(동구)동촌유원지명물먹거리촌,도하,동구 효동로6길 23 (효목동)
(동구)동촌유원지명물먹거리촌,독도별미회수산,"동구 효동로6길 88, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,동창회포차,"동구 효동로2길 57-8, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,동촌 참숯 뒷고기,동구 효동로2길 47-10 (효목동)
(동구)동촌유원지명물먹거리촌,동촌 파스쿠찌점,동구 효동로2길 33 (효목동)
(동구)동촌유원지명물먹거리촌,동촌숯불가든,동구 효동로6길 51 (효목동)
(동구)동촌유원지명물먹거리촌,동촌커피,"동구 효동로6길 20-1, 2층 (효목동)"
(동구)동촌유원지명물먹거리촌,동촌할매국밥,"동구 효동로2길 57-11, 지하1층 (효목동)"
(동구)동촌유원지명물먹거리촌,듀뷰,"동구 효동로2길 19, 2동 1~2층 (효목동)"
(동구)동촌유원지명물먹거리촌,드롭탑동촌유원지점,"동구 효동로6길 86, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,뜨락,"동구 효동로6길 10, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,라라코스트,"동구 효동로2길 29, 2층 (효목동)"
(동구)동촌유원지명물먹거리촌,런던보이즈,동구 효동로6길 57 (효목동)
(동구)동촌유원지명물먹거리촌,로렐트리,동구 효동로6길 122 (효목동)
(동구)동촌유원지명물먹거리촌,마포연탄불갈비,"동구 효동로2길 33-8, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,막창도둑,동구 효동로6길 21 (효목동)
(동구)동촌유원지명물먹거리촌,만나식당,동구 효동로6길 32 (효목동)
(동구)동촌유원지명물먹거리촌,매무새,동구 효동로6길 23 (효목동)
(동구)동촌유원지명물먹거리촌,명인참치,"동구 효동로2길 27, 2층 (효목동)"
(동구)동촌유원지명물먹거리촌,묵돌이구이,"동구 효동로6길 20, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,묵돌이생고기,"동구 효동로6길 21, 2층 (효목동)"
(동구)동촌유원지명물먹거리촌,물곁에서,"동구 효동로2길 33-7, 2층 (효목동)"
(동구)동촌유원지명물먹거리촌,미소꿉당,"동구 효동로2길 57-11, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,민화사랑한정식,동구 효동로6길 7-3 (효목동)
(동구)동촌유원지명물먹거리촌,바다세상식당,동구 효동로2길 27 (효목동)
(동구)동촌유원지명물먹거리촌,발리발리,"동구 효동로2길 33-7, 3층 (효목동)"
(동구)동촌유원지명물먹거리촌,밥먹고갑시다,동구 효동로2길 84 (효목동)
(동구)동촌유원지명물먹거리촌,밥먹고갑시다,동구 효동로2길 84-1 (효목동)
(동구)동촌유원지명물먹거리촌,비틀즈라이브카페,"동구 효동로2길 57-8, 2.3층 (효목동)"
(동구)동촌유원지명물먹거리촌,사랑을위하여,동구 효동로6길 102 (효목동)
(동구)동촌유원지명물먹거리촌,산들마을,동구 효동로2길 25-1 (효목동)
(동구)동촌유원지명물먹거리촌,삼층 생고기집,"동구 효동로2길 27, 3층 (효목동)"
(동구)동촌유원지명물먹거리촌,샤브향 동촌유원지점,"동구 효동로2길 45, 3층 (효목동)"
(동구)동촌유원지명물먹거리촌,석산복어식당,"동구 효동로2길 27 (효목동)1061-2,1062-2)"
(동구)동촌유원지명물먹거리촌,설빙 동촌유원지점,"동구 효동로2길 45, 2층 (효목동)"
(동구)동촌유원지명물먹거리촌,소통,"동구 효동로2길 45, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,스시센슈,동구 효동로6길 46 (효목동)
(동구)동촌유원지명물먹거리촌,스타벅스대구동촌유원지점,"동구 효동로2길 45, 2층 (효목동)"
(동구)동촌유원지명물먹거리촌,시더스초밥 대구동촌유원지점,"동구 효동로6길 37,2층 (효목동)"
(동구)동촌유원지명물먹거리촌,신동궁식당,동구 효동로2길 57-12 (효목동)
(동구)동촌유원지명물먹거리촌,아양,동구 효동로2길 31 (효목동)
(동구)동촌유원지명물먹거리촌,아양짚,"동구 효동로2길 29, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,어물전,동구 효동로6길 19-4 (효목동)
(동구)동촌유원지명물먹거리촌,여기술집,"동구 효동로2길 27, 4층 (효목동)"
(동구)동촌유원지명물먹거리촌,옛골토성,"동구 효동로2길 33, 1-2층 (효목동)"
(동구)동촌유원지명물먹거리촌,옹심이칼국수식당,동구 효동로6길 19-3 (효목동)
(동구)동촌유원지명물먹거리촌,왕산식육식당,동구 효동로2길 57-7 (효목동)
(동구)동촌유원지명물먹거리촌,이화원,"동구 효동로6길 6, 1층,2층 (효목동)"
(동구)동촌유원지명물먹거리촌,인스퍼레이션디(d) 동촌유원지,"동구 효동로6길 57, 1층 (효목동)"
(동구)동촌유원지명물먹거리촌,일품장수미역,동구 효동로6길 47-5 (효목동)
(동구)동촌유원지명물먹거리촌,장어클라쓰(동촌점),동구 효동로6길 43 (효목동)
(동구)동촌유원지명물먹거리촌,정하용 선산곱창,"동구 효동로2길 27, 2층 (효목동)"
(동구)동촌유원지명물먹거리촌,주꾸미네,"동구 효동로6길 43, 지하1층 (효목동)"
(동구)동촌유원지명물먹거리촌,짝라이브,"동구 효동로2길 47-7, 3층 (효목동)"
