"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.93","202301","4","25,000","6","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","202301","5","29,800","8","2005","경강로2539번길 22","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","202301","25","28,500","5","2005","경강로2539번길 22","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.86","202301","4","20,000","11","2002","교동광장로 138-12","","직거래","-"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","202301","11","25,000","3","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","332-2","0332","0002","대인맨션","84.72","202301","6","18,500","6","1991","화부산로141번길 45","","중개거래","강원 강릉시"
"강원도 강릉시 교동","175-1","0175","0001","오뚜기","60.43","202301","29","9,000","4","1979","율곡로2874번길 5","","직거래","-"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.3","202301","30","9,200","1","1989","관대길16번길 6","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202301","25","11,000","15","1997","강변로 114","","직거래","-"
"강원도 강릉시 내곡동","756","0756","0000","석미모닝파크","84.3","202301","25","21,500","12","2008","남산초교길11번길 12-5","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","835","0835","0000","노암2주공","59.3","202301","7","11,300","3","1984","노가니남길 25","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","711","0711","0000","신화","44.64","202301","26","14,700","9","1998","강변로 270","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","245-5","0245","0005","현대","84.945","202301","4","17,500","4","1992","율곡로 2733","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","1063","1063","0000","강릉송정한신더휴","84.9955","202301","27","42,000","17","2019","경강로 2448","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","1063","1063","0000","강릉송정한신더휴","84.9955","202301","28","42,000","6","2019","경강로 2448","","중개거래","강원 강릉시"
