항공사123,편명123,예정시간123,도착지공항123
대한항공,KE5649,202403052353,신 울란바토르
대한항공,KE5925,202403060057,암스테르담
대한항공,KE5679,202403060613,나트랑
대한항공,KE5075,202403060649,후쿠오카
대한항공,KE1405,202403060704,김해
대한항공,KE5749,202403060708,키타큐슈
대한항공,KE5845,202403060712,옌타이
대한항공,KE5741,202403060732,도쿄/나리타
대한항공,KE197,202403060750,신 울란바토르
대한항공,KE621,202403060745,마닐라
대한항공,KE859,202403060754,베이징/서우두
대한항공,KE787,202403060802,후쿠오카
대한항공,KE5071,202403060816,오사카/ 간사이
대한항공,KE755,202403060800,오키나와
대한항공,KE441,202403060802,하노이
대한항공,KE827,202403060809,선전
대한항공,KE171,202403060818,홍콩
대한항공,KE1407,202403060823,김해
대한항공,KE893,202403060825,상하이/푸동
대한항공,KE5869,202403060814,칭다오
대한항공,KE5061,202403060834,삿포로
대한항공,KE771,202403060842,오카야마
대한항공,KE831,202403060852,선양(심양)
대한항공,KE5879,202403060856,상하이/푸동
대한항공,KE865,202403060851,광저우
대한항공,KE819,202403060852,장사
대한항공,KE723,202403060856,오사카/ 간사이
대한항공,KE185,202403060901,타이베이
대한항공,KE845,202403060854,칭다오
대한항공,KE469,202403060920,호찌민
대한항공,KE137,202403060928,우한
대한항공,KE657,202403060912,방콕/수완나품
대한항공,KE421,202403060913,괌
대한항공,KE811,202403060916,시안
대한항공,KE117,202403060932,옌지(연길)
대한항공,KE107,202403060936,항저우
대한항공,KE091,202403060930,보스턴
대한항공,KE7273,202403060933,디트로이트
대한항공,KE5775,202403060936,괌
대한항공,KE5755,202403060958,타이베이
대한항공,KE643,202403061009,싱가포르
대한항공,KE035,202403060957,애틀랜타
대한항공,KE703,202403060949,도쿄/나리타
대한항공,KE125,202403061002,샤먼
대한항공,KE765,202403061002,삿포로
대한항공,KE5745,202403061024,오키나와
대한항공,KE5681,202403061016,호찌민
대한항공,KE081,202403061014,뉴욕/존에프케네디
대한항공,KE805,202403061023,톈진
대한항공,KE093,202403061024,워싱턴
대한항공,KE031,202403061033,댈러스포트워스
대한항공,KE073,202403061031,토론토
대한항공,KE101,202403061025,난징
대한항공,KE5683,202403061036,하노이
대한항공,KE741,202403061033,나고야
대한항공,KE5627,202403061033,자카르타/수카르노하타
대한항공,KE173,202403061042,홍콩
대한항공,KE037,202403061048,시카고/오헤어
대한항공,KE5673,202403061101,다낭
대한항공,KE5829,202403061034,하이커우
대한항공,KE727,202403061049,오사카/ 간사이
대한항공,KE907,202403061059,런던/히드로
대한항공,KE791,202403061111,후쿠오카
대한항공,KE785,202403061106,가고시마
대한항공,KE5941,202403061112,타슈켄트
대한항공,KE5671,202403061102,쿠알라룸푸르
대한항공,KE855,202403061121,베이징/서우두
대한항공,KE969,202403061121,프라하
대한항공,KE457,202403061114,다낭
대한항공,KE897,202403061116,상하이/푸동
대한항공,KE945,202403061137,프랑크푸르트
대한항공,KE5847,202403061203,옌타이
대한항공,KE5853,202403061203,칭다오
대한항공,KE915,202403061216,바르셀로나
대한항공,KE937,202403061212,비엔나
대한항공,KE901,202403061222,파리/샤를드골
대한항공,KE927,202403061238,밀라노
대한항공,KE5807,202403061205,상하이/푸동
대한항공,KE5699,202403061210,가오슝
대한항공,KE5691,202403061230,타이베이
대한항공,KE951,202403061253,두바이
대한항공,KE869,202403061258,다롄(대련)
대한항공,KE5857,202403061309,상하이/푸동
대한항공,KE769,202403061254,삿포로
대한항공,KE843,202403061304,칭다오
대한항공,KE789,202403061303,후쿠오카
대한항공,KE5843,202403061305,칭다오
대한항공,KE5867,202403061330,신 울란바토르
대한항공,KE695,202403061336,카트만두
대한항공,KE711,202403061337,도쿄/나리타
대한항공,KE955,202403061352,이스탄불
대한항공,KE1411,202403061408,김해
대한항공,KE5871,202403061415,시안
대한항공,KE5849,202403061424,웨이하이
대한항공,KE5863,202403061425,상하이/푸동
대한항공,KE833,202403061440,선양(심양)
대한항공,KE017,202403061434,로스앤젤레스
대한항공,KE627,202403061505,자카르타/수카르노하타
대한항공,KE725,202403061507,오사카/ 간사이
대한항공,KE5855,202403061540,쿤밍
대한항공,KE487,202403061552,푸꾸옥
대한항공,KE5825,202403061608,광저우
대한항공,KE023,202403061633,샌프란시스코
대한항공,KE187,202403061616,타이베이
대한항공,KE041,202403061640,시애틀
대한항공,KE5885,202403061627,상하이/푸동
대한항공,KE489,202403061633,양곤
대한항공,KE5841,202403061645,칭다오
대한항공,KE713,202403061700,도쿄/나리타
대한항공,KE663,202403061657,푸켓
대한항공,KE671,202403061710,쿠알라룸푸르
