시군구,단지명,전용면적(㎡),층,거래금액(만원)
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,15,"        72,800"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,17,"        71,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,19,"        73,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,26,"        69,900"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,3,"        44,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,3,"        42,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,7,"        45,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,10,"        46,300"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,10,"        50,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,10,"        50,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,10,"        45,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,11,"        51,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,11,"        50,800"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,13,"        45,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,19,"        50,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,19,"        52,800"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,21,"        53,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,21,"        52,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,21,"        47,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,25,"        53,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,27,"        53,100"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,28,"        50,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,30,"        53,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,30,"        53,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,3,"        47,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,5,"        45,800"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,14,"        49,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,17,"        49,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,59.8763,18,"        50,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,2,"        63,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,3,"        65,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,4,"        68,900"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,5,"        68,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,6,"        69,750"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,8,"        73,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,10,"        65,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,13,"        67,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,13,"        67,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,16,"        74,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,18,"        72,900"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,18,"        70,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,20,"        68,700"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,21,"        77,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,22,"        72,800"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,23,"        76,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,23,"        76,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,24,"        75,900"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,25,"        73,800"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,26,"        68,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,26,"        77,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,26,"        77,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,26,"        71,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,28,"        75,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,33,"        70,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,101.5239,6,"        91,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,101.5239,13,"        90,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,101.5239,29,"        96,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,101.5239,30,"        94,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,4,"        70,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,6,"        70,000"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,8,"        68,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9371,10,"        69,500"
대구광역시 중구 남산동,남산롯데캐슬센트럴스카이,84.9532,11,"        72,000"
