시군구,단지명,전용면적(㎡),층,거래금액(만원)
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,20,"        30,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,21,"        29,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,29,"        33,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,29,"        33,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,4,"        29,300"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,8,"        32,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,12,"        32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,16,"        31,200"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,20,"        32,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,5,"        29,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,8,"        33,200"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,23,"        32,200"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,25,"        35,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,10,"        32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,16,"        35,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,19,"        32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,21,"        31,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,5,"        31,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,7,"        32,100"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,7,"        32,100"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,10,"        32,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,10,"        32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,1,"        31,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,11,"        29,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,19,"        34,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,2,"        30,200"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,29,"        31,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,3,"        30,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,4,"        29,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,6,"        34,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,7,"        29,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,10,"        32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,13,"        32,300"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,13,"        32,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,17,"        32,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,17,"        31,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,21,"        30,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,23,"        32,300"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,25,"        33,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,26,"        32,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,27,"        32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,4,"        27,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,5,"        31,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,8,"        34,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,100.0009,1,"        34,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,11,"        29,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,11,"        41,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,100.7562,14,"        35,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,100.0009,15,"        36,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,15,"        39,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,19,"        41,300"
대구광역시 달성군 화원읍 구라리,대곡역래미안,100.7562,20,"        36,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,2,"        34,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,24,"        31,600"
대구광역시 달성군 화원읍 구라리,대곡역래미안,100.7562,28,"        36,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,11,"        32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,15,"        30,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,2,"        29,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,2,"        29,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,29,"        32,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,3,"        31,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,5,"        30,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.4630,6,"        31,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,9,"        31,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,13,"        32,400"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,6,"        35,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,15,"        39,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,16,"        37,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,6,"        37,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,127.6786,13,"        55,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,130.7889,14,"        50,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,130.7889,20,"        52,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,130.7889,23,"        46,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,130.7889,23,"        46,900"
대구광역시 남구 봉덕동,래미안웰리스트,84.9388,1,"        42,500"
대구광역시 남구 봉덕동,래미안웰리스트,84.9388,11,"        45,000"
대구광역시 남구 봉덕동,래미안웰리스트,84.9396,18,"        47,000"
대구광역시 남구 봉덕동,래미안웰리스트,144.4990,22,"        85,500"
대구광역시 남구 봉덕동,래미안웰리스트,144.4990,9,"        86,000"
대구광역시 남구 봉덕동,래미안웰리스트,165.8368,28,"        98,000"
대구광역시 남구 봉덕동,래미안웰리스트,109.2566,12,"        72,000"
대구광역시 남구 봉덕동,래미안웰리스트,165.8368,12,"        95,000"
대구광역시 남구 봉덕동,래미안웰리스트,165.8368,13,"        90,000"
대구광역시 남구 봉덕동,래미안웰리스트,165.8368,17,"        90,000"
대구광역시 남구 봉덕동,래미안웰리스트,109.2566,5,"        62,000"
대구광역시 수성구 범어동,래미안수성,126.0949,1,"        87,000"
대구광역시 수성구 범어동,래미안수성,126.0949,14,"        89,000"
대구광역시 수성구 범어동,래미안수성,126.0949,2,"        78,000"
대구광역시 수성구 범어동,래미안수성,126.0949,7,"        88,000"
대구광역시 수성구 범어동,래미안수성,101.8075,10,"        71,500"
대구광역시 수성구 범어동,래미안수성,134.5680,12,"        81,000"
대구광역시 수성구 범어동,래미안수성,134.5680,18,"        85,000"
대구광역시 수성구 범어동,래미안수성,134.5680,4,"        82,000"
대구광역시 수성구 범어동,래미안수성,134.5680,5,"        73,000"
대구광역시 수성구 범어동,래미안수성,101.8075,7,"        67,000"
대구광역시 수성구 범어동,래미안수성,134.5680,3,"        83,000"
대구광역시 수성구 범어동,래미안수성,134.5680,6,"        78,000"
대구광역시 수성구 범어동,래미안수성,134.5680,14,"        76,000"
대구광역시 수성구 범어동,래미안수성,101.9355,16,"        73,000"
대구광역시 수성구 범어동,래미안수성,101.9355,17,"        69,000"
대구광역시 수성구 범어동,래미안수성,101.9355,21,"        69,000"
대구광역시 수성구 범어동,래미안수성,125.9433,9,"        81,000"
대구광역시 수성구 범어동,래미안수성,126.0949,10,"        85,000"
대구광역시 수성구 범어동,래미안수성,146.7191,6,"       103,500"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.8800,10,"        35,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.8800,12,"        31,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.8800,16,"        34,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.8800,9,"        34,900"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.8800,9,"        36,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.9600,2,"        33,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.9600,6,"        32,750"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.8800,8,"        34,400"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.8800,7,"        32,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,101.6400,1,"        37,500"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,77.0300,6,"        32,500"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,101.6400,15,"        42,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,101.6400,4,"        39,000"
