title,link
프리마 델라 프리마 Ⅰ &lt;오르페오와 에우리디체&gt;,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1969
2024 시즌오페라 &lt;오르페오와 에우리디체&gt;,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1957
프리마 델라 프리마 Ⅱ &lt;파우스트&gt;,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1970
2024  고교특화형 문화예술프로그램 D-Art로,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1990
2024 시즌오페라 &lt;파우스트&gt;,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1958
프리마 델라 프리마 Ⅲ &lt;안드레아 셰니에&gt;,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1971
2024 시즌오페라 &lt;안드레아 셰니에&gt;,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1959
하반기정기대관 공고예정,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1983
제10회 DIMF 뮤지컬스타 무대준비,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1952
제10회 DIMF 뮤지컬스타 파이널라운드,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1966
2분기 무대기계정기점검,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1956
늑대와 빨간두건 무대준비,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1953
빛의 환타지 발레로 보는 동화 &lt;늑대와 빨간두건&gt;,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1967
하반기정기대관 공고예정,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1984
제18회 대구국제뮤지컬 페스티벌,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1944
제18회 대구국제뮤지컬 페스티벌,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1965
하반기정기대관 공고예정,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1985
2024 시즌오페라 &lt;헨젤과 그레텔&gt;,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1960
무대준비,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1964
광복절 경축식,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1946
2024 국립발레단 &lt;돈키호테&gt;,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1972
하반기정기대관 공고예정,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1986
하반기정기대관 공고예정,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1987
하반기정기대관 공고예정,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1988
하반기정기대관 공고예정,http://www.daeguoperahouse.org/contents/01_performance/page.html?mid=026027&mode=view&no=1989
