stationName,addr,dmX,dmY,year
남산1동,대구광역시 중구 남산로2길 125 대구명덕초등학교 (남산동),35.8583333333,128.5897222222,2022
수창동,대구 중구 수창동 73 (수창초등학교)(달성로 22길 30) 수창초등학교,35.874296,128.584136,1999
지산동,대구 수성구 지산동 761-11(한국환경공단) (무학로 209) 한국환경공단,35.830472,128.63157,1999
서호동,대구 동구 서호동 25-1(안심로49길 70) 반야월초등학교 옥상,35.869104,128.711016,2001
이현동,대구 서구 이현동 48-60 (중리초등학교)(국채보상로 135) 중리초등학교,35.869556,128.545323,1994
평리동,대구 서구 평리3동 730-1 (대평중학교내) (통학로 217),35.880274,128.562491,1998
대명동,대구 남구 성당로30길55 성명초등학교별관3층옥상 성명초등학교 별관 3층 옥상,35.845498,128.571066,2010
신암동,대구 동구 신암동 72-1 (신암5동사무소)(아양로 37길 92) 주민센터,35.889757,128.633064,1998
태전동,대구 북구 태전동 1076-5 (태암초등학교)(칠곡중앙대로 52길 56) 태암초등학교 남관 4층 옥상,35.923033,128.550652,2023
산격동,대구광역시 북구 연암로 40 시청 산격청사 105동 3층 옥상 (산격동),35.89324,128.60201,2020
서변동,대구광역시 북구 서변동 124 호국로도로변,35.911047,128.599759,2023
연호동,대구광역시 수성구 달구벌대로 지하2950 (연호동) 달구벌대로변,35.839594,128.682225,2023
만촌동,대구 수성구 만촌2동 934 (동원초등학교)(국채보상로 1000) 동원초등학교,35.865276,128.640031,1996
호림동,대구 달서구 성서공단로 11길 32 대구기계부품연구원 1동 옥상 대구기계부품연구원,35.837879,128.488731,2002
유가읍,대구광역시 달성군 유가읍 테크노북로6길 20 비슬공원,35.695336,128.459293,2003
이곡동,대구 달서구 이곡동 1258-2,35.851205,128.51153,2016
시지동,대구광역시 수성구 노변공원로 52 노변초등학교 (시지동),35.837626,128.697558,2017
진천동,대구광역시 달서구 월배로 131 월배초등학교 (진천동),35.816726,128.528732,2017
다사읍,대구광역시 달성군 다사읍 매곡로12길 37 다사읍주민자치센터,35.864922,128.457164,2018
본동,대구광역시 달서구 구마로26길 62 본동행정복지센터 (본동),35.83433,128.541083,2019
내당동,대구광역시 서구 서대구로3길 46 내당4동 행정복지센터 3층 옥상 (내당동),35.859,128.55183,2020
침산동,대구광역시 북구 옥산로17길 21 대구일중학교 (침산동),35.88761,128.58434,2020
화원읍,대구광역시 달성군 화원읍 인흥1길 12 화원명곡체육공원,35.79736,128.50485,2020
충혼탑,대구광역시 남구 앞산순환로 540 충혼탑 주차장 앞 (대명동),35.832255,128.583743,2022
군위읍,대구광역시 군위군 군위읍 군청로 158 군위종합테니스장 옥상,36.234746,128.57628,2019
