항공사,편명,예정시간,도착지공항
대한항공,KE5649,202403100005,신 울란바토르
대한항공,KE5925,202403100055,암스테르담
대한항공,KE5679,202403100615,나트랑
대한항공,KE5075,202403100650,후쿠오카
대한항공,KE1405,202403100700,김해
대한항공,KE5749,202403100705,키타큐슈
대한항공,KE5845,202403100725,옌타이
대한항공,KE5741,202403100730,도쿄/나리타
대한항공,KE621,202403100745,마닐라
대한항공,KE197,202403100745,신 울란바토르
대한항공,KE787,202403100800,후쿠오카
대한항공,KE755,202403100805,오키나와
대한항공,KE441,202403100805,하노이
대한항공,KE827,202403100815,선전
대한항공,KE171,202403100820,홍콩
대한항공,KE893,202403100825,상하이/푸동
대한항공,KE1407,202403100825,김해
대한항공,KE5061,202403100830,삿포로
대한항공,KE771,202403100845,오카야마
대한항공,KE5071,202403100850,오사카/ 간사이
대한항공,KE831,202403100850,선양(심양)
대한항공,KE5879,202403100855,상하이/푸동
대한항공,KE865,202403100855,광저우
대한항공,KE819,202403100855,장사
대한항공,KE723,202403100900,오사카/ 간사이
대한항공,KE185,202403100900,타이베이
대한항공,KE845,202403100905,칭다오
대한항공,KE469,202403100910,호찌민
대한항공,KE421,202403100915,괌
대한항공,KE137,202403100915,우한
대한항공,KE657,202403100915,방콕/수완나품
대한항공,KE811,202403100920,시안
대한항공,KE117,202403100925,옌지(연길)
대한항공,KE091,202403100930,보스턴
대한항공,KE7273,202403100935,디트로이트
대한항공,KE5775,202403100935,괌
대한항공,KE5755,202403100940,타이베이
대한항공,KE643,202403100950,싱가포르
대한항공,KE703,202403100955,도쿄/나리타
대한항공,KE081,202403101000,뉴욕/존에프케네디
대한항공,KE765,202403101005,삿포로
대한항공,KE125,202403101005,샤먼
대한항공,KE5745,202403101010,오키나와
대한항공,KE5681,202403101015,호찌민
대한항공,KE805,202403101015,톈진
대한항공,KE073,202403101020,토론토
대한항공,KE093,202403101015,워싱턴
대한항공,KE101,202403101030,난징
대한항공,KE5683,202403101035,하노이
대한항공,KE741,202403101035,나고야
대한항공,KE037,202403101040,시카고/오헤어
대한항공,KE173,202403101040,홍콩
대한항공,KE035,202403100935,애틀랜타
대한항공,KE5673,202403101045,다낭
대한항공,KE5829,202403101045,하이커우
대한항공,KE727,202403101050,오사카/ 간사이
대한항공,KE907,202403101055,런던/히드로
대한항공,KE785,202403101105,가고시마
대한항공,KE791,202403101105,후쿠오카
대한항공,KE5671,202403101105,쿠알라룸푸르
대한항공,KE925,202403101110,암스테르담
대한항공,KE897,202403101110,상하이/푸동
대한항공,KE855,202403101110,베이징/서우두
대한항공,KE457,202403101110,다낭
대한항공,KE945,202403101130,프랑크푸르트
대한항공,KE5629,202403101135,덴파사르
대한항공,KE5901,202403101145,파리/샤를드골
대한항공,KE5847,202403101155,옌타이
대한항공,KE5853,202403101200,칭다오
대한항공,KE937,202403101205,비엔나
대한항공,KE927,202403101210,밀라노
대한항공,KE901,202403101210,파리/샤를드골
대한항공,KE5807,202403101215,상하이/푸동
대한항공,KE5699,202403101215,가오슝
대한항공,KE497,202403101220,델리
대한항공,KE5691,202403101225,타이베이
대한항공,KE951,202403101245,두바이
대한항공,KE913,202403101245,마드리드
대한항공,KE869,202403101250,다롄(대련)
대한항공,KE5857,202403101255,상하이/푸동
대한항공,KE769,202403101255,삿포로
대한항공,KE843,202403101305,칭다오
대한항공,KE789,202403101310,후쿠오카
대한항공,KE5843,202403101315,칭다오
대한항공,KE5867,202403101320,신 울란바토르
대한항공,KE695,202403101325,카트만두
