순위,곡제목,가수,앨범
1,밤양갱,비비(BIBI),밤양갱
2,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’
3,나는 아픈 건 딱 질색이니까,(여자)아이들,2
4,EASY,LE SSERAFIM (르세라핌),EASY
5,홀씨,아이유(IU),The Winning
6,Smart,LE SSERAFIM (르세라핌),EASY
7,Love wins all,아이유(IU),The Winning
8,To. X,태연 (TAEYEON),To. X - The 5th Mini Album
9,Shopper,아이유(IU),The Winning
10,Love 119,RIIZE,Love 119
11,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night
12,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom),Yes or No
13,Wife,(여자)아이들,2
14,비의 랩소디,임재현,비의 랩소디
15,관객이 될게 (I stan U),아이유(IU),The Winning
16,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS'
17,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
18,Swan Song,LE SSERAFIM (르세라핌),EASY
19,Drama,aespa,Drama - The 4th Mini Album
20,에피소드,이무진,에피소드
21,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
22,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB))
23,I AM,IVE (아이브),I've IVE
24,Get A Guitar,RIIZE,Get A Guitar
25,Super Lady,(여자)아이들,2
26,인사,범진,인사
27,그대가 내 안에 박혔다,황치열,그대가 내 안에 박혔다
28,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
29,꿈,태연 (TAEYEON),웰컴투 삼달리 OST Part.3
30,DASH,NMIXX,Fe3O4: BREAK
31,Ditto,NewJeans,NewJeans 'OMG'
32,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
33,헤어지자 말해요,박재정,1집 Alone
34,예뻤어,DAY6 (데이식스),Every DAY6 February
35,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
36,숲,최유리,유영
37,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me]
38,Talk Saxy,RIIZE,Talk Saxy
39,Discord,QWER,1st Single Album 'Harmony from Discord'
40,Steal The Show (From “엘리멘탈”),Lauv(라우브),Steal The Show (From “엘리멘탈”)
41,Kitsch,IVE (아이브),I've IVE
42,Spicy,aespa,MY WORLD - The 3rd Mini Album
43,Obsessed,Ayumu Imazu,Obsessed
44,사건의 지평선,"윤하(Younha,ユンナ)",YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
45,Baddie,IVE (아이브),I'VE MINE
46,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
47,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
48,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
49,LOVE DIVE,IVE (아이브),LOVE DIVE
50,Love Lee,AKMU(악뮤),Love Lee
51,Standing Next to You,정국,GOLDEN
52,Off The Record,IVE (아이브),I'VE MINE
53,후라이의 꿈,AKMU(악뮤),Love Lee
54,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
55,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)",아이유(IU),The Winning
56,After LIKE,IVE (아이브),After LIKE
57,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
58,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤),항해
59,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
60,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
61,GODS,NewJeans,2023 리그 오브 레전드 월드 챔피언십 주제곡
62,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition)
63,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up'
64,퀸카 (Queencard),(여자)아이들,I feel
65,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
66,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
67,Off My Face,Justin Bieber(저스틴 비버),Justice
68,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album
69,OMG,NewJeans,NewJeans 'OMG'
70,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album
71,사막에서 꽃을 피우듯,우디(Woody),사막에서 꽃을 피우듯
72,봄이 와도,로이킴,봄이 와도
73,심(心),DK(디셈버),심(心)
74,주저하는 연인들을 위해,잔나비,전설
75,달빛에 그려지는,미연 ((여자)아이들),연인 OST Part.4
76,운이 좋았지,권진아,나의 모양
77,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
78,STAY,The Kid LAROI,STAY
79,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
80,어른,Sondia,나의 아저씨 (tvN 수목드라마) OST - Part.2
81,자꾸만 웃게 돼,부석순(SEVENTEEN),눈물의 여왕 OST Part.1
82,이 노래,PITTA (강형호),이 노래
83,Bubble,STAYC(스테이씨),TEENFRESH
84,음악의 신,세븐틴(SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN'
85,손오공,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
86,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
87,취중고백,김민석,취중고백
88,Beautiful Things,Benson Boone,Beautiful Things
89,사랑할 수밖에,볼빨간사춘기,Merry Go Round
90,사랑을 하다가,황치열,사랑을 하다가
91,Fast Forward,전소미,GAME PLAN
92,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬
93,When I Get Old,Christopher(크리스토퍼),When I Get Old
94,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
95,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
96,잠시라도 우리,성시경,잠시라도 우리
97,Either Way,IVE (아이브),I'VE MINE
98,WAY 4 LUV,PLAVE,ASTERUM : 134-1
99,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박)
100,이해한다는 말 (Understanding),황치열,GIFT
