영화 제목,개봉일,예매율
듄-파트2,2024.02.28,54.8%
파묘,2024.02.22,16.4%
밥 말리-원 러브,2024.03.13,5.4%
메이 디셈버,2024.03.13,4.0%
태양은 없다,2024.03.13,3.2%
패스트 라이브즈,2024.03.06,2.7%
(라이브뷰잉) 앙상블 스타즈!! 드림라이브 8th 투어 - Praesepe#Cancer (오사카),2024.04.05,2.2%
가여운 것들,2024.03.06,2.1%
극장판 스파이 패밀리 코드-화이트,2024.03.20,2.0%
로봇 드림,2024.03.13,1.3%
마담 웹,2024.03.13,0.8%
사운드 오브 프리덤,2024.02.21,0.7%
웡카,2024.01.31,0.6%
"귀멸의 칼날-인연의 기적, 그리고 합동 강화 훈련으로",2024.02.14,0.6%
비트,2024.03.06,0.6%
건국전쟁,2024.02.01,0.4%
추락의 해부,2024.01.31,0.3%
돌핀,2024.03.13,0.3%
바튼 아카데미,2024.02.21,0.3%
