순위,곡제목,가수,앨범
1,밤양갱,비비(BIBI),밤양갱
2,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’
3,나는 아픈 건 딱 질색이니까,(여자)아이들,2
4,EASY,LE SSERAFIM (르세라핌),EASY
5,홀씨,아이유(IU),The Winning
6,Love wins all,아이유(IU),The Winning
7,Smart,LE SSERAFIM (르세라핌),EASY
8,To. X,태연 (TAEYEON),To. X - The 5th Mini Album
9,Shopper,아이유(IU),The Winning
10,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom),Yes or No
11,Wife,(여자)아이들,2
12,Love 119,RIIZE,Love 119
13,관객이 될게 (I stan U),아이유(IU),The Winning
14,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night
15,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS'
16,에피소드,이무진,에피소드
17,비의 랩소디,임재현,비의 랩소디
18,Drama,aespa,Drama - The 4th Mini Album
19,Super Lady,(여자)아이들,2
20,Get A Guitar,RIIZE,Get A Guitar
21,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
22,I AM,IVE (아이브),I've IVE
23,꿈,태연 (TAEYEON),웰컴투 삼달리 OST Part.3
24,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB))
25,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
26,DASH,NMIXX,Fe3O4: BREAK
27,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
28,Swan Song,LE SSERAFIM (르세라핌),EASY
29,헤어지자 말해요,박재정,1집 Alone
30,Baddie,IVE (아이브),I'VE MINE
31,인사,범진,인사
32,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me]
33,후라이의 꿈,AKMU(악뮤),Love Lee
34,예뻤어,DAY6 (데이식스),Every DAY6 February
35,Ditto,NewJeans,NewJeans 'OMG'
36,Love Lee,AKMU(악뮤),Love Lee
37,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
38,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
39,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
40,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)",아이유(IU),The Winning
41,Steal The Show (From “엘리멘탈”),Lauv(라우브),Steal The Show (From “엘리멘탈”)
42,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
43,Discord,QWER,1st Single Album 'Harmony from Discord'
44,After LIKE,IVE (아이브),After LIKE
45,사건의 지평선,"윤하(Younha,ユンナ)",YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
46,퀸카 (Queencard),(여자)아이들,I feel
47,Standing Next to You,정국,GOLDEN
48,Off The Record,IVE (아이브),I'VE MINE
49,LOVE DIVE,IVE (아이브),LOVE DIVE
50,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
51,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
52,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition)
53,그대가 내 안에 박혔다,황치열,그대가 내 안에 박혔다
54,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
55,Fast Forward,전소미,GAME PLAN
56,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
57,Talk Saxy,RIIZE,Talk Saxy
58,어른,Sondia,나의 아저씨 (tvN 수목드라마) OST - Part.2
59,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
60,Spicy,aespa,MY WORLD - The 3rd Mini Album
61,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
62,Bubble,STAYC(스테이씨),TEENFRESH
63,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
64,OMG,NewJeans,NewJeans 'OMG'
65,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album
66,When I Get Old,Christopher(크리스토퍼),When I Get Old
67,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album
68,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up'
69,잠시라도 우리,성시경,잠시라도 우리
70,Underwater,권은비,Lethality
71,Kitsch,IVE (아이브),I've IVE
72,GODS,NewJeans,2023 리그 오브 레전드 월드 챔피언십 주제곡
73,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
74,손오공,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
75,STAY,The Kid LAROI,STAY
76,음악의 신,세븐틴(SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN'
77,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
78,심(心),DK(디셈버),심(心)
79,숲,최유리,유영
80,주저하는 연인들을 위해,잔나비,전설
81,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
82,봄이 와도,로이킴,봄이 와도
83,Obsessed,Ayumu Imazu,Obsessed
84,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles in December)’
85,Either Way,IVE (아이브),I'VE MINE
86,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
87,사막에서 꽃을 피우듯,우디(Woody),사막에서 꽃을 피우듯
88,Off My Face,Justin Bieber(저스틴 비버),Justice
89,달빛에 그려지는,미연 ((여자)아이들),연인 OST Part.4
90,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오,스트릿 우먼 파이터2(SWF2) 계급미션
91,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤),항해
92,취중고백,김민석,취중고백
93,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박)
94,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
95,사랑할 수밖에,볼빨간사춘기,Merry Go Round
96,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬
97,이 노래,PITTA (강형호),이 노래
98,운이 좋았지,권진아,나의 모양
99,WAY 4 LUV,PLAVE,ASTERUM : 134-1
100,Beautiful Things,Benson Boone,Beautiful Things
